dataset,rule_id,severity,status,affected_records,criterion,description
financial_impact,date_parse_created_at,critical,PASS,0,created_at totalmente parseável,Todos os valores de created_at devem seguir padrão de data válido.
financial_impact,date_parse_updated_at,critical,PASS,0,updated_at totalmente parseável,Todos os valores de updated_at devem seguir padrão de data válido.
financial_impact,fk_incident_exists,critical,PASS,0,incident_id contido em incidents_master,Toda linha de impacto financeiro deve referenciar um incidente existente.
financial_impact,insurance_lte_total,critical,PASS,0,insurance_payout_usd <= total_loss_usd,Reembolso do seguro não deve superar a perda total declarada.
financial_impact,non_negative_numeric,critical,PASS,0,campos financeiros não negativos,Valores monetários não podem ser negativos.
financial_impact,pk_not_null,critical,PASS,0,incident_id sem valores nulos,A chave de negócio deve estar preenchida em 100% das linhas.
financial_impact,pk_unique,critical,PASS,0,incident_id único,A chave de negócio não pode se repetir dentro do dataset.
financial_impact,total_inside_bounds,critical,PASS,0,total_loss_usd entre lower_bound e upper_bound,Perda total deve cair dentro do intervalo declarado.
financial_impact,full_row_duplicates,warning,PASS,0,0 linhas duplicadas completas,Verifica duplicação integral de linhas.
financial_impact,high_missing_columns,warning,WARN,5,até 50% de nulos por coluna,Sinaliza colunas com alta incompletude na Bronze.
incidents_master,attack_vector_domain,critical,PASS,0,attack_vector_primary em domínio conhecido,Vetor primário deve pertencer à lista esperada de categorias.
incidents_master,country_hq_iso2,critical,PASS,0,country_hq no formato [A-Z]{2},País da sede deve seguir padrão ISO-2 em letras maiúsculas.
incidents_master,date_parse_created_at,critical,PASS,0,created_at totalmente parseável,Todos os valores de created_at devem seguir padrão de data válido.
incidents_master,date_parse_disclosure_date,critical,PASS,0,disclosure_date totalmente parseável,Todos os valores de disclosure_date devem seguir padrão de data válido.
incidents_master,date_parse_discovery_date,critical,PASS,0,discovery_date totalmente parseável,Todos os valores de discovery_date devem seguir padrão de data válido.
incidents_master,date_parse_incident_date,critical,PASS,0,incident_date totalmente parseável,Todos os valores de incident_date devem seguir padrão de data válido.
incidents_master,date_parse_updated_at,critical,PASS,0,updated_at totalmente parseável,Todos os valores de updated_at devem seguir padrão de data válido.
incidents_master,disclosure_after_discovery,critical,PASS,0,disclosure_date >= discovery_date,A divulgação não pode acontecer antes da descoberta.
incidents_master,discovery_after_incident,critical,PASS,0,discovery_date >= incident_date,A descoberta não pode acontecer antes do incidente.
incidents_master,non_negative_numeric,critical,PASS,0,campos numéricos não negativos,"Receita, funcionários, downtime e registros comprometidos não podem ser negativos."
incidents_master,pk_not_null,critical,PASS,0,incident_id sem valores nulos,A chave de negócio deve estar preenchida em 100% das linhas.
incidents_master,pk_unique,critical,PASS,0,incident_id único,A chave de negócio não pode se repetir dentro do dataset.
incidents_master,quality_score_range,critical,PASS,0,0 <= quality_score <= 100,"Pontuação de qualidade deve ficar no intervalo fechado [0,100]."
incidents_master,attribution_confidence_domain,warning,PASS,0,attribution_confidence em domínio conhecido,Confiança de atribuição deve pertencer à lista esperada.
incidents_master,full_row_duplicates,warning,PASS,0,0 linhas duplicadas completas,Verifica duplicação integral de linhas.
incidents_master,high_missing_columns,warning,WARN,7,até 50% de nulos por coluna,Sinaliza colunas com alta incompletude na Bronze.
market_impact,date_parse_created_at,critical,PASS,0,created_at totalmente parseável,Todos os valores de created_at devem seguir padrão de data válido.
market_impact,date_parse_updated_at,critical,PASS,0,updated_at totalmente parseável,Todos os valores de updated_at devem seguir padrão de data válido.
market_impact,fk_incident_exists,critical,PASS,0,incident_id contido em incidents_master,Toda linha de impacto de mercado deve referenciar um incidente existente.
market_impact,non_negative_prices,critical,PASS,0,"preços, market cap e volatilidades não negativos",Campos de mercado básicos não podem ser negativos.
market_impact,p_values_between_0_1,critical,PASS,0,0 <= p_value <= 1,"P-values precisam estar dentro do intervalo [0,1]."
market_impact,pk_not_null,critical,PASS,0,incident_id sem valores nulos,A chave de negócio deve estar preenchida em 100% das linhas.
market_impact,pk_unique,critical,PASS,0,incident_id único,A chave de negócio não pode se repetir dentro do dataset.
market_impact,volume_ratio_non_negative,critical,PASS,0,volume_ratio_disclosure >= 0,Razão de volume no disclosure deve ser não negativa.
market_impact,full_row_duplicates,warning,PASS,0,0 linhas duplicadas completas,Verifica duplicação integral de linhas.
market_impact,high_missing_columns,warning,WARN,1,até 50% de nulos por coluna,Sinaliza colunas com alta incompletude na Bronze.
