Coluna(s),Técnica,Justificativa
company_revenue_usd,Outlier - Winsorization IQR fitado no treino,"Capping aplicado com limites calculados somente no treino. company_revenue_usd: treino=100, teste=31, limites=[-11883076706.50, 20435221823.12]; employee_count: treino=107, teste=25, limites=[-59559.88, 102207.12]"
employee_count,Outlier - Winsorization IQR fitado no treino,"Capping aplicado com limites calculados somente no treino. company_revenue_usd: treino=100, teste=31, limites=[-11883076706.50, 20435221823.12]; employee_count: treino=107, teste=25, limites=[-59559.88, 102207.12]"
"company_revenue_usd, employee_count, price_7d_before, volume_avg_30d_baseline, pre_incident_volatility_30d",Scaling - RobustScaler,Escalas numéricas distintas; scaler fitado somente no treino e aplicado no teste via transform.
"company_revenue_usd, employee_count, price_7d_before, volume_avg_30d_baseline, pre_incident_volatility_30d",Missing - SimpleImputer(strategy=median),Medianas calculadas somente no treino para variáveis numéricas.
"attack_vector_primary, attribution_confidence, porte_empresa, industry_primary, data_source_type, data_type","Missing - SimpleImputer(strategy=constant, fill_value=nao_informado)",Cria categoria explícita para ausência em campos categóricos.
"is_public_company, incident_date_estimated, earnings_announcement_within_7d, flag_ransomware, flag_atribuicao_conhecida",Missing - SimpleImputer(strategy=most_frequent),Imputação por moda para flags booleanos.
"attack_vector_primary, attribution_confidence, porte_empresa",Encoding 1 - OrdinalEncoder,"Categorias com ordenação operacional definida: vetor, confiança de atribuição e porte."
"industry_primary, data_source_type, data_type",Encoding 2 - OneHotEncoder(drop=first),"Categorias nominais sem ordem: setor, tipo de fonte e tipo de dado."
"ano_incidente, mes_incidente, trimestre_incidente, confidence_tier",Passthrough,Variáveis discretas já numéricas preservadas sem transformação adicional.
"incident_id, company_name, stock_ticker, attack_chain, attributed_group, systems_affected, data_source_primary, data_source_secondary, notes, cpi_index_used, ransom_source, incident_date, industry_secondary, direct_loss_method, country_hq, attack_vector_secondary, sector_index","Descarte - leakage, alta cardinalidade ou texto livre","Remove identificadores, URLs, texto livre, datas brutas ou metadados sem uso preditivo seguro."
Pipeline completo,fit/transform,"Split estratificado antes de outliers, imputação, encoding e scaling; todos os objetos são fitados no treino."
